x,y,z
-1102.17,-2751.46,-0
-1081.4,-2746.8,-0
-1055.47,-2726.86,-0
-1034.72,-2721.97,-0
-1019.3,-2727.78,-0
-1002.81,-2733.88,-0
-987.066,-2739.61,-0
-964.882,-2726.29,-0
-948.397,-2732.07,-0
-932.665,-2737.48,-0
-916.377,-2742.98,-0
-900.584,-2748.2,-0
-879.865,-2738.1,-0
-857.568,-2724.21,-0
-839.524,-2721.45,-0
-820.759,-2718.81,-0
-803.099,-2715.74,-0
-787.464,-2720.32,-0
-772.108,-2728.87,-0
-757.464,-2737.12,-0
-740.138,-2737.72,-0
-720.29,-2726.46,-0
-704.594,-2730.56,-0
-690.303,-2742.46,-0
-673.563,-2742.5,-0
-658.707,-2750.22,-0
-639.622,-2742.4,-0
-620.291,-2730.43,-0
-603.187,-2730.16,-0
-585.792,-2725.76,-0
-570.102,-2729.09,-0
-555.197,-2740.32,-0
-538.915,-2739.5,-0
-521.611,-2738.77,-0
-505.122,-2737.79,-0
-489.627,-2740.61,-0
-473.064,-2743.51,-0
-456.619,-2742.24,-0
-440.31,-2744.91,-0
-423.291,-2739.49,-0
-407.525,-2741.88,-0
-390.655,-2740.29,-0
-374.886,-2742.5,-0
-358.315,-2744.71,-0
-343.278,-2750.66,-0
-326.978,-2748.62,-0
-310.37,-2750.54,-0
-294.806,-2752.26,-0
-277.775,-2750.01,-0
-261.951,-2751.56,-0
-246.74,-2756.98,-0
-229.751,-2754.43,-0
-213.902,-2755.71,-0
4.89482,-2041.99,-0
16.5915,-2035.93,-0
28.164,-2025.8,-0
40.0862,-2019.6,-0
51.5498,-2013.34,-0
63.3895,-2009,-0
74.7962,-2004.61,-0
86.1544,-2000.15,-0
98.1357,-1997.59,-0
109.214,-1993.01,-0
120.885,-1986.32,-0
132.31,-1985.6,-0
143.107,-1978.83,-0
154.588,-1971.95,-0
165.592,-1967.04,-0
176.743,-1960.05,-0
187.633,-1955.02,-0
198.47,-1949.93,-0
209.415,-1942.75,-0
220.135,-1937.53,-0
231.359,-1932.2,-0
242.285,-1930.86,-0
252.606,-1923.48,-0
263.674,-1917.96,-0
274.236,-1914.46,-0
285.203,-1908.81,-0
295.564,-1903.19,-0
305.689,-1897.53,-0
316.815,-1893.68,-0
326.679,-1885.92,-0
336.283,-1878.13,-0
347.257,-1874.1,-0
357.656,-1870.11,-0
367.991,-1864.02,-0
378.708,-1861.88,-0
389.125,-1855.64,-0
399.194,-1851.45,-0
409.937,-1847.06,-0
421,-1846.62,-0
429.897,-1828.13,-0
436.062,-1806.1,-0
445.964,-1801.62,-0
456.838,-1798.9,-0
467.005,-1796.29,-0
478.876,-1797.3,-0
490.25,-1796.3,-0
500.403,-1793.5,-0
511.776,-1792.37,-0
522.638,-1791.31,-0
533.848,-1790.09,-0
545.885,-1792.73,-0
557.125,-1791.36,-0
568.63,-1791.94,-0
580.676,-1792.28,-0
592.575,-1792.6,-0
602.778,-1793.41,-0
614.857,-1795.65,-0
624.373,-1788.13,-0
635.319,-1786.39,-0
645.415,-1776.38,-0
644.163,-1740.63,-0
643.591,-1708.82,-0
643.874,-1678.76,-0
642.931,-1646.96,-0
643.028,-1614.67,-0
641.796,-1584.99,-0
641.454,-1557.05,-0
640.984,-1531.25,-0
643.171,-1510.79,-0
646.277,-1489.87,-0
649.615,-1473.13,-0
653.851,-1460.3,-0
659.346,-1449.04,-0
662.638,-1434.33,-0
667.753,-1423.13,-0
674.209,-1415.65,-0
679.264,-1404.35,-0
684.554,-1395.1,-0
690.292,-1385.57,-0
695.808,-1376.09,-0
702.8,-1370.28,-0
711.064,-1366.01,-0
720.646,-1365.51,-0
734.546,-1371.71,-0
1017.45,-1761.24,-0
1121.64,-1869.31,-0
1126.67,-1852.25,-0
1122.62,-1821.9,-0
1122.84,-1798.23,-0
1127.26,-1781.28,-0
1130.85,-1764.77,-0
1134.95,-1747.84,-0
1134,-1724.57,-0
1144.69,-1693.4,-0
1143.46,-1549.83,-0
1148.76,-1538.42,-0
1143.41,-1512.42,-0
1152.1,-1505.82,-0
1152.94,-1484.97,-0
1149.1,-1462.59,-0
1149.06,-1444.77,-0
1153.59,-1433.46,-0
1163.49,-1428.02,-0
1151.2,-1396.72,-0
1149.36,-1377.46,-0
1154.69,-1367.77,-0
1153.7,-1350.24,-0
1160.53,-1341.73,-0
1162.83,-1329.13,-0
1153.4,-1300.12,-0
1155.76,-1287.29,-0
1163.15,-1280.62,-0
1155.85,-1257.49,-0
1158.98,-1246.42,-0
1163.75,-1236.49,-0
1162.8,-1220.86,-0
1150.38,-1193.98,-0
1158.96,-1188.45,-0
1178.31,-1194.69,-0
1168.55,-1170.56,-0
1163.68,-1149.93,-0
1171.71,-1144.61,-0
1161.22,-1120.96,-0
1167.65,-1114.26,-0
1177.27,-1109.93,-0
1179.46,-1098.83,-0
1178.41,-1085.25,-0
1162.75,-1057.92,-0
1164.25,-1047.32,-0
1176.54,-1045.58,-0
1172.02,-1029.55,-0
1172.07,-1017.32,-0
1171.83,-1005.36,-0
1164.91,-985.73,-0
1186.4,-981.865,-0
1192.69,-961.522,-0
1177.77,-938.556,-0
1181.85,-930.188,-0
1187.18,-923.374,-0
1178.37,-905.335,-0
1183.56,-898.542,-0
1181.13,-875.112,-0
1175.33,-849.182,-0
1185.07,-845.892,-0
1182.63,-832.052,-0
1185.99,-823.753,-0
1182.46,-811.26,-0
1182.29,-800.852,-0
1185.22,-792.925,-0
1176.56,-777.048,-0
1182.69,-771.36,-0
1187.32,-764.203,-0
1169.9,-743.19,-0
1170.77,-734.322,-0
1188.79,-735.657,-0
1180.98,-721.622,-0
1188.74,-716.54,-0
1198,-712.758,-0
1184.97,-695.5,-0
1183.76,-685.665,-0
1187.88,-678.503,-0
1183.75,-665.5,-0
1189.25,-659.765,-0
1193.21,-652.569,-0
1188.33,-640.605,-0
1188.4,-631.995,-0
1188.65,-622.948,-0
1195.77,-617.937,-0
1194.08,-608.096,-0
1195.77,-600.319,-0
1195.73,-591.427,-0
1199.11,-584.539,-0
1199.01,-575.555,-0
1182.42,-559.242,-0
1191.16,-554.737,-0
1210.85,-555.032,-0
1203.04,-543.236,-0
1200.81,-533.523,-0
1183.53,-508.142,-0
1193.36,-505.47,-0
1196.39,-498.253,-0
1194.2,-487.828,-0
1204,-484.973,-0
1214.2,-480.985,-0
1202.67,-466.571,-0
1199.68,-457.623,-0
1198.68,-448.965,-0
1197.49,-440.681,-0
1198.2,-432.876,-0
1205.11,-419.374,-0
156.109,-30.1817,-0
154.378,-28.5745,-0
1207.92,-221.184,-0
153.584,-27.3476,-0
1210.95,-215.626,-0
152.781,-26.133,-0
152.936,-25.2097,-0
1218.54,-194.746,-0
153.083,-24.3002,-0
153.221,-23.4192,-0
154.322,-22.816,-0
154.457,-21.8834,-0
154.581,-20.9946,-0
155.673,-20.3682,-0
157.734,-20.023,-0
158.935,-18.4281,-0
161.192,-16.157,-0
1229.77,-23.8194,-0
1223.9,-15.3721,-0
1209.97,-8.00465,-0
1208,-1.04238,-0
1216,1.63191,0.028485
1219.97,8.88799,0.15514
1221.9,15.9306,0.278069
1219.78,23.2713,0.406202
1221.63,30.219,0.527475
1219.42,37.5345,0.655166
1217.17,44.8244,0.782412
1218.9,51.7925,0.904041
1220.56,59.2496,1.0342
1224.2,66.4856,1.16051
1221.78,73.6398,1.28539
1217.35,80.402,1.40342
1224.84,87.9754,1.53562
1230.38,94.4215,1.64813
1227.8,101.567,1.77287
1229.19,108.804,1.89918
1218.47,116.218,2.02859
1240.99,132.065,2.30521
1232.26,138.309,2.41419
1225.46,144.925,2.52968
1224.6,151.971,2.65266
1233.58,160.655,2.80424
1228.69,167.09,2.91657
1217.76,173.1,3.02147
1226.63,181.565,3.16923
1239.42,190.628,3.32743
1236.27,197.794,3.4525
1229.2,203.919,3.55942
1218.11,209.525,3.65728
1226.73,218.28,3.81009
1235.22,227.495,3.97095
1239.81,235.598,4.11238
1213.42,245.441,4.28419
1229.56,256.322,4.47411
1247.62,267.583,4.67069
1232.31,272.095,4.74943
1228.8,278.618,4.86329
1232.94,287.395,5.0165
1233.21,294.947,5.14832
1237.26,303.701,5.30113
1237.43,311.3,5.43377
1227.87,316.416,5.52306
1216.3,321.155,5.60578
1229.88,332.319,5.80065
1243.27,344.007,6.00467
1245.15,352.122,6.1463
1229.56,355.744,6.20953
1231.32,363.944,6.35266
1242.94,373.993,6.52807
1236.54,381.265,6.655
1236.57,387.904,6.77089
1225.38,409.446,7.14691
1222.89,416.839,7.27595
1220.47,423.866,7.3986
1218.01,430.878,7.52101
1206.02,434.718,7.58804
1210.22,452.293,7.89481
1224.84,481.191,8.39922
1209.05,483.034,8.43138
1182.47,489.987,8.55275
1183.32,498.332,8.69842
1189.48,509.406,8.89171
1186.58,516.125,9.009
1183.44,523.282,9.13391
1179.62,536.672,9.36765
1184.13,555.527,9.69676
1180.91,562.329,9.81548
1152.41,575.148,10.0392
1123.94,569.443,9.93966
1120.64,575.898,10.0523
1118.97,583.472,10.1845
1081.4,573.277,10.0066
1060.47,570.018,9.94971
1060.52,578.327,10.0947
1064.23,588.185,10.2668
1058.91,593.624,10.3617
1064.18,604.644,10.5541
1032.59,619.083,10.8061
1006.48,619.681,10.8166
1001.26,624.305,10.8973
993.829,636.067,11.1026
1057.87,684.37,11.9457
1055.46,691.742,12.0744
1054.79,700.013,12.2188
1052.21,707.486,12.3492
1039.85,707.899,12.3564
1015.87,700.443,12.2263
981.578,686.705,11.9865
967.11,693.29,12.1014
931.665,694.332,12.1196
938.952,724.434,12.645
947.451,739.577,12.9094
1008.08,804.787,14.0476
1027.48,828.536,14.4621
1044.39,852.132,14.874
1041.01,859.398,15.0008
1005.85,860.819,15.0256
1176.25,1024.56,17.8837
1174.94,1035.16,18.0688
1171.65,1044.9,18.2388
1159.68,1046.26,18.2626
1143.4,1043.37,18.212
1129.73,1043.47,18.2138
1118.22,1047.03,18.276
1104.92,1046.57,18.268
1091.46,1046.2,18.2615
1078.24,1045.5,18.2492
